time,ano,resultado,data,hora,casa/fora,placar
sao-paulo,2000,Copa Mercosul 2000,1F,6,2,13-13
sao-paulo,2000,Copa João Havelange 2000,1/8,26,10,48-38
sao-paulo,2000,Copa do Brasil 2000,F,12,8,28-13
sao-paulo,2000,Copa dos Campeões Regionais 2000,SF,4,2,5-4
sao-paulo,2000,Campeonato Paulista  2000,Campeão,20,14,45-22
sao-paulo,2000,Torneio Rio-São Paulo 2000,SF,8,4,14-17
sao-paulo,2000,,,76,40,153-107
sao-paulo,2000,1 2,,,,
sao-paulo,2000,1 2,,,,
sao-paulo,2001,Copa Mercosul 2001,1F,6,1,7-6
sao-paulo,2001,Campeonato Brasileiro 2001,QF,28,13,49-36
sao-paulo,2001,Copa do Brasil 2001,QF,7,5,24-8
sao-paulo,2001,Copa dos Campeões Regionais 2001,F,6,5,21-10
sao-paulo,2001,Campeonato Paulista  2001,1F,15,6,32-26
sao-paulo,2001,Torneio Rio-São Paulo 2001,Campeão,8,5,15-10
sao-paulo,2001,,,70,35,148-96
sao-paulo,2001,1 2,,,,
sao-paulo,2001,1 2,,,,
sao-paulo,2002,Campeonato Brasileiro Série A 2002,QF,27,16,59-40
sao-paulo,2002,Copa do Brasil 2002,SF,9,5,22-10
sao-paulo,2002,Copa dos Campeões Regionais 2002,1F,3,1,3-3
sao-paulo,2002,Supercampeonato Paulista 2002,Campeão,4,2,10-5
sao-paulo,2002,Torneio Rio-São Paulo 2002,F,19,8,53-38
sao-paulo,2002,,,62,32,147-96
sao-paulo,2002,1 2,,,,
sao-paulo,2002,1 2,,,,
sao-paulo,2003,Copa Sudamericana 2003,SF,8,6,18-7
sao-paulo,2003,Campeonato Brasileiro Série A 2003,3.º,46,22,81-67
sao-paulo,2003,Copa do Brasil 2003,QF,8,4,17-6
sao-paulo,2003,Campeonato Paulista  2003,F,11,6,29-14
sao-paulo,2003,,,73,38,145-94
sao-paulo,2003,1 2,,,,
sao-paulo,2003,1 2,,,,
sao-paulo,2004,Copa Sudamericana 2004,FP,4,0,3-4
sao-paulo,2004,Copa Libertadores 2004,SF,12,8,21-12
sao-paulo,2004,Campeonato Brasileiro Série A 2004,3.º,46,24,78-43
sao-paulo,2004,Campeonato Paulista  2004,QF,10,8,21-7
sao-paulo,2004,,,72,40,123-66
sao-paulo,2004,1 2,,,,
sao-paulo,2004,1 2,,,,
sao-paulo,2005,Mundial de Clubes 2005,Campeão,2,2,4-2
sao-paulo,2005,Copa Sudamericana 2005,FP,2,0,2-3
sao-paulo,2005,Copa Libertadores 2005,Campeão,14,9,34-14
sao-paulo,2005,Campeonato Brasileiro Série A 2005,11.º,42,16,77-67
sao-paulo,2005,Campeonato Paulista 2005,Campeão,19,14,49-21
sao-paulo,2005,,,79,41,166-107
sao-paulo,2005,1 2,,,,
sao-paulo,2005,1 2,,,,
sao-paulo,2006,Recopa Sudamericana 2006,F,2,0,3-4
sao-paulo,2006,Copa Libertadores 2006,F,14,8,23-13
sao-paulo,2006,Campeonato Brasileiro Série A 2006,Campeão,38,22,66-32
sao-paulo,2006,Campeonato Paulista 2006,2.º,19,13,46-21
sao-paulo,2006,,,73,43,138-70
sao-paulo,2006,1 2,,,,
sao-paulo,2006,1 2,,,,
sao-paulo,2007,Copa Sudamericana 2007,QF,6,1,5-8
sao-paulo,2007,Copa Libertadores 2007,1/8,8,4,12-6
sao-paulo,2007,Campeonato Brasileiro Série A 2007,Campeão,38,23,55-19
sao-paulo,2007,Campeonato Paulista 2007,SF,21,13,43-19
sao-paulo,2007,,,73,41,115-52
sao-paulo,2007,1 2,,,,
sao-paulo,2007,1 2,,,,
sao-paulo,2008,Copa Sudamericana 2008,1F,2,0,0-0
sao-paulo,2008,Copa Libertadores 2008,QF,10,5,10-7
sao-paulo,2008,Brasileirão 2008,Campeão,38,21,66-36
sao-paulo,2008,Campeonato Paulista 2008,SF,21,12,33-25
sao-paulo,2008,,,71,38,109-68
sao-paulo,2008,1 2,,,,
sao-paulo,2000,V,2000-06-29,,(C),3-0
sao-paulo,2000,V,2000-01-23,,(F),1-2
sao-paulo,2001,V,2001-06-23,18:30,,4-2
sao-paulo,2001,V,2001-01-17,,(C),2-0
sao-paulo,2002,E,2002-04-22,,(C),1-1
sao-paulo,2002,E,2002-01-19,,(F),3-3
sao-paulo,2003,V,2003-06-29,,(F),0-1
sao-paulo,2003,D,2003-01-26,,(F),2-1
sao-paulo,2004,D,2004-06-27,16:00,(F),2-1
sao-paulo,2004,E,2004-01-21,20:30,(C),0-0
sao-paulo,2005,V,2005-06-29,21:45,(F),2-3
sao-paulo,2005,V,2005-01-19,22:00,(C),4-2
sao-paulo,2006,V,2006-05-20,18:10,(C),1-0
sao-paulo,2006,D,2006-01-18,21:45,(F),1-0
sao-paulo,2007,D,2007-06-10,18:10,(C),0-1
sao-paulo,2007,V,2007-01-18,20:30,(F),1-3
sao-paulo,2008,D,2008-05-21,21:50,(F),3-1
sao-paulo,2008,E,2008-05-25,16:00,(C),1-1
sao-paulo,2008,E,2008-06-01,16:00,(F),0-0
sao-paulo,2008,V,2008-06-07,18:10,(C),5-1
sao-paulo,2008,V,2008-06-14,16:00,(F),2-4
sao-paulo,2008,V,2008-06-21,18:20,(C),1-0
sao-paulo,2008,E,2008-06-29,17:00,(F),1-1
sao-paulo,2008,E,2008-07-06,18:10,(C),1-1
sao-paulo,2008,D,2008-07-09,21:45,(F),2-1
sao-paulo,2008,V,2008-07-13,17:00,(C),2-1
sao-paulo,2008,V,2008-07-16,21:45,(F),1-3
sao-paulo,2008,V,2008-07-20,19:10,(C),2-1
sao-paulo,2008,D,2008-07-23,21:50,(F),2-0
sao-paulo,2008,V,2008-07-27,19:10,(C),3-1
sao-paulo,2008,E,2008-07-30,21:50,(F),1-1
sao-paulo,2008,E,2008-05-18,16:00,(F),1-1
sao-paulo,2008,V,2008-08-03,16:00,(C),4-0
sao-paulo,2008,D,2008-08-06,21:50,(F),3-1
sao-paulo,2008,V,2008-08-09,18:20,(C),2-1
sao-paulo,2008,D,2008-08-17,16:00,(F),1-0
sao-paulo,2008,E,2008-08-24,17:00,(F),2-2
sao-paulo,2008,E,2008-08-31,17:00,(C),0-0
sao-paulo,2008,E,2008-09-03,22:00,(F),1-1
sao-paulo,2008,V,2008-09-14,16:00,(C),2-0
sao-paulo,2008,E,2008-09-21,17:00,(F),0-0
sao-paulo,2008,V,2008-09-28,16:00,(C),2-0
sao-paulo,2008,V,2008-10-04,16:00,(F),1-3
sao-paulo,2008,V,2008-10-09,20:30,(C),1-0
sao-paulo,2008,E,2008-10-19,17:00,(F),2-2
sao-paulo,2008,V,2008-10-23,20:30,(C),2-1
sao-paulo,2008,V,2008-10-29,21:50,(F),1-2
sao-paulo,2008,V,2008-11-02,19:10,(C),3-0
sao-paulo,2008,E,2008-08-12,20:10,(F),0-0
sao-paulo,2008,V,2008-11-08,18:30,(F),2-3
sao-paulo,2008,V,2008-08-20,20:30,(C),3-1
sao-paulo,2008,V,2008-11-16,18:00,(C),3-1
sao-paulo,2008,E,2008-08-27,21:50,(C),0-0 (3-4 Pen.)
sao-paulo,2008,V,2008-11-23,18:00,(F),1-2
sao-paulo,2008,E,2008-11-30,17:00,(C),1-1
sao-paulo,2008,V,2008-12-07,17:00,(F),0-1
sao-paulo,2007,V,2007-01-21,16:00,(C),1-0
sao-paulo,2007,E,2007-01-24,21:45,(F),2-2
sao-paulo,2007,V,2007-01-28,16:00,(F),0-2
sao-paulo,2007,E,2007-02-01,20:30,(C),1-1
sao-paulo,2007,E,2007-02-04,18:10,(F),1-1
sao-paulo,2007,V,2007-02-07,21:45,(C),3-0
sao-paulo,2007,V,2007-02-11,16:00,(C),3-1
sao-paulo,2007,E,2007-02-14,21:45,(F),0-0
sao-paulo,2007,V,2007-02-17,18:10,(F),2-4
sao-paulo,2007,V,2007-02-28,21:45,(C),4-0
sao-paulo,2007,V,2007-03-03,18:10,(F),0-2
sao-paulo,2007,E,2007-03-11,16:00,(F),1-1
sao-paulo,2007,V,2007-03-17,16:00,(C),1-0
sao-paulo,2007,D,2007-03-21,22:00,(F),2-1
sao-paulo,2007,D,2007-03-25,14:00,(F),1-0
time,ano,resultado,data,hora,casa/fora,placar
sao-paulo,2000,Copa Mercosul 2000,1F,6,2,13-13
sao-paulo,2000,Copa João Havelange 2000,1/8,26,10,48-38
sao-paulo,2000,Copa do Brasil 2000,F,12,8,28-13
sao-paulo,2000,Copa dos Campeões Regionais 2000,SF,4,2,5-4
sao-paulo,2000,Campeonato Paulista  2000,Campeão,20,14,45-22
sao-paulo,2000,Torneio Rio-São Paulo 2000,SF,8,4,14-17
sao-paulo,2000,,,76,40,153-107
sao-paulo,2000,1 2,,,,
sao-paulo,2000,1 2,,,,
sao-paulo,2001,Copa Mercosul 2001,1F,6,1,7-6
sao-paulo,2001,Campeonato Brasileiro 2001,QF,28,13,49-36
sao-paulo,2001,Copa do Brasil 2001,QF,7,5,24-8
sao-paulo,2001,Copa dos Campeões Regionais 2001,F,6,5,21-10
sao-paulo,2001,Campeonato Paulista  2001,1F,15,6,32-26
sao-paulo,2001,Torneio Rio-São Paulo 2001,Campeão,8,5,15-10
sao-paulo,2001,,,70,35,148-96
sao-paulo,2001,1 2,,,,
sao-paulo,2001,1 2,,,,
sao-paulo,2002,Campeonato Brasileiro Série A 2002,QF,27,16,59-40
sao-paulo,2002,Copa do Brasil 2002,SF,9,5,22-10
sao-paulo,2002,Copa dos Campeões Regionais 2002,1F,3,1,3-3
sao-paulo,2002,Supercampeonato Paulista 2002,Campeão,4,2,10-5
sao-paulo,2002,Torneio Rio-São Paulo 2002,F,19,8,53-38
sao-paulo,2002,,,62,32,147-96
sao-paulo,2002,1 2,,,,
sao-paulo,2002,1 2,,,,
sao-paulo,2003,Copa Sudamericana 2003,SF,8,6,18-7
sao-paulo,2003,Campeonato Brasileiro Série A 2003,3.º,46,22,81-67
sao-paulo,2003,Copa do Brasil 2003,QF,8,4,17-6
sao-paulo,2003,Campeonato Paulista  2003,F,11,6,29-14
sao-paulo,2003,,,73,38,145-94
sao-paulo,2003,1 2,,,,
sao-paulo,2003,1 2,,,,
sao-paulo,2004,Copa Sudamericana 2004,FP,4,0,3-4
sao-paulo,2004,Copa Libertadores 2004,SF,12,8,21-12
sao-paulo,2004,Campeonato Brasileiro Série A 2004,3.º,46,24,78-43
sao-paulo,2004,Campeonato Paulista  2004,QF,10,8,21-7
sao-paulo,2004,,,72,40,123-66
sao-paulo,2004,1 2,,,,
sao-paulo,2004,1 2,,,,
sao-paulo,2005,Mundial de Clubes 2005,Campeão,2,2,4-2
sao-paulo,2005,Copa Sudamericana 2005,FP,2,0,2-3
sao-paulo,2005,Copa Libertadores 2005,Campeão,14,9,34-14
sao-paulo,2005,Campeonato Brasileiro Série A 2005,11.º,42,16,77-67
sao-paulo,2005,Campeonato Paulista 2005,Campeão,19,14,49-21
sao-paulo,2005,,,79,41,166-107
sao-paulo,2005,1 2,,,,
sao-paulo,2005,1 2,,,,
sao-paulo,2006,Recopa Sudamericana 2006,F,2,0,3-4
sao-paulo,2006,Copa Libertadores 2006,F,14,8,23-13
sao-paulo,2006,Campeonato Brasileiro Série A 2006,Campeão,38,22,66-32
sao-paulo,2006,Campeonato Paulista 2006,2.º,19,13,46-21
sao-paulo,2006,,,73,43,138-70
sao-paulo,2006,1 2,,,,
sao-paulo,2006,1 2,,,,
sao-paulo,2007,Copa Sudamericana 2007,QF,6,1,5-8
sao-paulo,2007,Copa Libertadores 2007,1/8,8,4,12-6
sao-paulo,2007,Campeonato Brasileiro Série A 2007,Campeão,38,23,55-19
sao-paulo,2007,Campeonato Paulista 2007,SF,21,13,43-19
sao-paulo,2007,,,73,41,115-52
sao-paulo,2007,1 2,,,,
sao-paulo,2007,1 2,,,,
sao-paulo,2008,Copa Sudamericana 2008,1F,2,0,0-0
sao-paulo,2008,Copa Libertadores 2008,QF,10,5,10-7
sao-paulo,2008,Brasileirão 2008,Campeão,38,21,66-36
sao-paulo,2008,Campeonato Paulista 2008,SF,21,12,33-25
sao-paulo,2008,,,71,38,109-68
sao-paulo,2008,1 2,,,,
sao-paulo,2000,V,2000-06-29,,(C),3-0
sao-paulo,2000,V,2000-01-23,,(F),1-2
sao-paulo,2001,V,2001-06-23,18:30,,4-2
sao-paulo,2001,V,2001-01-17,,(C),2-0
sao-paulo,2002,E,2002-04-22,,(C),1-1
sao-paulo,2002,E,2002-01-19,,(F),3-3
sao-paulo,2003,V,2003-06-29,,(F),0-1
sao-paulo,2003,D,2003-01-26,,(F),2-1
sao-paulo,2004,D,2004-06-27,16:00,(F),2-1
sao-paulo,2004,E,2004-01-21,20:30,(C),0-0
sao-paulo,2005,V,2005-06-29,21:45,(F),2-3
sao-paulo,2005,V,2005-01-19,22:00,(C),4-2
sao-paulo,2006,V,2006-05-20,18:10,(C),1-0
sao-paulo,2006,D,2006-01-18,21:45,(F),1-0
sao-paulo,2007,D,2007-06-10,18:10,(C),0-1
sao-paulo,2007,V,2007-01-18,20:30,(F),1-3
sao-paulo,2008,D,2008-05-21,21:50,(F),3-1
sao-paulo,2008,E,2008-05-25,16:00,(C),1-1
sao-paulo,2008,E,2008-06-01,16:00,(F),0-0
sao-paulo,2008,V,2008-06-07,18:10,(C),5-1
sao-paulo,2008,V,2008-06-14,16:00,(F),2-4
sao-paulo,2008,V,2008-06-21,18:20,(C),1-0
sao-paulo,2008,E,2008-06-29,17:00,(F),1-1
sao-paulo,2008,E,2008-07-06,18:10,(C),1-1
sao-paulo,2008,D,2008-07-09,21:45,(F),2-1
sao-paulo,2008,V,2008-07-13,17:00,(C),2-1
sao-paulo,2008,V,2008-07-16,21:45,(F),1-3
sao-paulo,2008,V,2008-07-20,19:10,(C),2-1
sao-paulo,2008,D,2008-07-23,21:50,(F),2-0
sao-paulo,2008,V,2008-07-27,19:10,(C),3-1
sao-paulo,2008,E,2008-07-30,21:50,(F),1-1
sao-paulo,2008,E,2008-05-18,16:00,(F),1-1
sao-paulo,2008,V,2008-08-03,16:00,(C),4-0
sao-paulo,2008,D,2008-08-06,21:50,(F),3-1
sao-paulo,2008,V,2008-08-09,18:20,(C),2-1
sao-paulo,2008,D,2008-08-17,16:00,(F),1-0
sao-paulo,2008,E,2008-08-24,17:00,(F),2-2
sao-paulo,2008,E,2008-08-31,17:00,(C),0-0
sao-paulo,2008,E,2008-09-03,22:00,(F),1-1
sao-paulo,2008,V,2008-09-14,16:00,(C),2-0
sao-paulo,2008,E,2008-09-21,17:00,(F),0-0
sao-paulo,2008,V,2008-09-28,16:00,(C),2-0
sao-paulo,2008,V,2008-10-04,16:00,(F),1-3
sao-paulo,2008,V,2008-10-09,20:30,(C),1-0
sao-paulo,2008,E,2008-10-19,17:00,(F),2-2
sao-paulo,2008,V,2008-10-23,20:30,(C),2-1
sao-paulo,2008,V,2008-10-29,21:50,(F),1-2
sao-paulo,2008,V,2008-11-02,19:10,(C),3-0
sao-paulo,2008,E,2008-08-12,20:10,(F),0-0
sao-paulo,2008,V,2008-11-08,18:30,(F),2-3
sao-paulo,2008,V,2008-08-20,20:30,(C),3-1
sao-paulo,2008,V,2008-11-16,18:00,(C),3-1
sao-paulo,2008,E,2008-08-27,21:50,(C),0-0 (3-4 Pen.)
sao-paulo,2008,V,2008-11-23,18:00,(F),1-2
